"","Method","Train_AUC","Test_AUC"
"1","Logistic Regression",0.771940928270042,0.533993399339934
"2","xGB",0.81711874623267,0.718646864686469
"3","xGB Down-Sampling",0.771036769138035,0.725412541254125
"4","xGB Up-Sampling",0.854370102471368,0.681683168316832
"5","xGB SMOTE",0.711452682338758,0.603795379537954
